"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2024-03-27","BPN","Sepinggan",6587,6442,145,5269,5166,103,61,2,59,3
"2024-03-28","BPN","Sepinggan",6887,6887,0,4698,4698,0,57,2,59,1
"2024-03-29","BPN","Sepinggan",6708,6611,97,5626,5454,172,70,3,66,1
"2024-03-30","BPN","Sepinggan",6732,6732,0,4943,4943,0,57,0,57,0
"2024-03-31","BPN","Sepinggan",7420,7294,126,5522,5423,99,62,2,63,2
"2024-04-01","BPN","Sepinggan",8625,8495,130,5537,5478,59,74,2,74,3
"2024-04-02","BPN","Sepinggan",10456,10456,0,4944,4944,0,76,1,76,2
"2024-04-03","BPN","Sepinggan",11935,11615,320,5008,4834,174,84,3,83,3
"2024-04-04","BPN","Sepinggan",12658,12646,12,5386,5386,0,89,1,88,2
"2024-04-05","BPN","Sepinggan",13869,13537,332,6748,6552,196,94,4,93,2
"2024-04-06","BPN","Sepinggan",13608,13608,0,8087,8087,0,97,0,95,0
"2024-04-07","BPN","Sepinggan",13542,13366,176,6362,6248,114,84,2,88,1
"2024-04-08","BPN","Sepinggan",13823,13658,165,5498,5363,135,94,2,95,3
"2024-04-09","BPN","Sepinggan",12143,12143,0,4233,4233,0,83,1,85,0
"2024-04-10","BPN","Sepinggan",7464,7134,330,2932,2762,170,50,2,48,2
"2024-04-11","BPN","Sepinggan",5652,5652,0,3059,3059,0,42,0,45,0
